X,Y,fid,NR,E,N,H,Aufnahmedatum,Abgabedatum,Bemerkungen,Wald/Gebüsch,Antennen,icon_url,Status
9.52462029490019,46.6866485695275,118,1360x243,2759560.74,1172723.98,1000.49,2024/03/05,,,,,./1.png,aufgenommen
9.52130225475546,46.6880809218795,119,1360x244,2759302.77,1172876.41,1095.06,2024/03/05,,,,,./1.png,aufgenommen
9.51902363410475,46.6890646093876,120,1360x245,2759125.62,1172981.1,1157.71,2024/03/05,,,,,./1.png,aufgenommen
9.5165528884537,46.6901279712936,121,1360x246,2758933.55,1173094.26,1194.69,2024/03/05,,,,,./1.png,aufgenommen
9.51055510522593,46.6914989519647,122,1360x247,2758470.88,1173234.48,1063.62,2024/08/21,,,,,./1.png,aufgenommen
9.50662965630851,46.6923936174529,123,1360x248,2758168.09,1173325.98,1079.31,2024/08/21,,,,,./1.png,aufgenommen
9.50303479117149,46.6940087967076,124,1360x249,2757888.48,1173498.23,1108.47,2024/08/21,,,,,./1.png,aufgenommen
9.49898211196952,46.6955866015666,125,1360x250,2757573.99,1173665.42,1035.32,2024/08/21,,,,,./1.png,aufgenommen
9.49442393289364,46.6973626158439,126,1360x251,2757220.29,1173853.64,1070.54,2024/08/21,,,,1,./1.png,aufgenommen
9.49043828501971,46.6989103728883,127,1360x252,2756911.05,1174017.66,1080.12,2024/08/21,,,,,./1.png,aufgenommen
9.4851275241253,46.6979045953255,128,1360x253,2756507.92,1173895.28,850.46,2024/03/04,,,,,./1.png,aufgenommen
9.48167116124933,46.6972484207578,129,1360x254,2756245.55,1173815.47,806.64,2024/03/04,,,,,./1.png,aufgenommen
9.47746720103726,46.6978838492367,130,1360x255,2755922.28,1173877.72,794.64,2024/03/04,,,,,./1.png,aufgenommen
9.4708289225748,46.6988885603976,131,1360x256,2755411.83,1173976.2,788.58,2024/03/04,,,1,,./1.png,aufgenommen
9.46654535233975,46.7000709397077,132,1360x257,2755080.92,1174099.12,798.54,2024/08/21,,,1,0,./1.png,aufgenommen
9.46561985555687,46.7015572975862,133,1360x258,2755353,1174376,771.73,2024/02/07,,,1,0,./1.png,aufgenommen
